Country,BCA,BCA_NGDPD,GGR_NGDP,GGXCNL_NGDP,GGXONLB_NGDP,GGXWDG_NGDP,GGX_NGDP,LP,NGDP,NGDPD,NGDPDPC,NGDPRPC,NGDPRPPPPC,NGDP_D,NGDP_FY,NGDP_RPCH,PCPI,PCPIPCH,PPPGDP,PPPPC,PPPSH,TM_RPCH,TX_RPCH
United Arab Emirates,21.103,5.88,27.912,-5.191,-4.901,39.672,33.103,9.89,1317.95,358.869,36284.56,145499.45,64199.35,91.585,1317.95,-4.8,272.444,-2.079,669.73,67715.19,0.504,-16.744,-7.87
United Kingdom,-69.013,-2.502,36.16,-12.761,-11.728,102.608,48.921,67.081,2150.38,2758.87,41127.44,30503.56,42975.53,105.091,2150.38,-9.27,108.736,0.851,3040.72,45329.05,2.287,-15.769,-12.961
United States,-619.698,-2.966,30.804,-14.492,-12.376,134.54,45.296,331.234,20893.75,20893.75,63078.47,55503.62,59803.38,113.647,20893.75,-3.405,258.838,1.249,20893.75,63078.47,15.717,-8.933,-13.561
Uruguay,-0.449,-0.837,28.124,-4.668,-2.109,68.307,32.793,3.531,2250.27,53.698,15208.01,470386.67,21200.62,135.485,2250.27,-6.115,216.725,9.756,78.957,22361.66,0.059,-12.799,-19.09
Uzbekistan,-3.007,-5.021,25.6,-3.273,-3.371,37.621,28.873,33.905,602193.0,59.893,1766.47,17761080.79,7415.02,100.0,602193.0,1.886,100.0,12.868,265.176,7821.1,0.199,-12.994,-20.029
Vanuatu,0.027,2.716,42.008,-1.974,-1.141,47.533,43.983,0.302,103.482,0.994,3294.92,221339.75,2543.21,154.966,103.482,-5.396,167.5,5.346,0.809,2682.49,0.001,0.0,0.0
Venezuela,-3.605,-8.02,4.3,-5.011,-4.926,319.088,9.311,27.951,14.704,44.953,1608.28,--,5459.84,9210886001218.12,14.704,-29.992,89714263101.08,2355.15,160.965,5758.84,0.121,-20.6,-48.1
Vietnam,15.06,4.392,18.571,-2.889,-1.553,41.668,21.46,97.583,7966121.55,342.941,3514.37,51108993.96,10312.54,159.726,7966121.55,2.944,282.118,3.222,1061.44,10877.3,0.798,2.655,3.569
West Bank and Gaza,-1.903,-12.25,25.258,-7.373,0.0,47.08,32.631,5.101,53.466,15.532,3044.74,10695.83,5087.06,97.994,53.466,-11.318,100.833,-0.711,27.371,5365.65,0.021,-14.171,-11.199
Yemen,-1.105,-5.864,6.633,-4.784,-2.756,83.956,11.417,30.245,14005.57,18.85,623.233,6981.4,1876.94,6632.85,14005.57,-8.5,1510.56,23.095,59.877,1979.73,0.045,-21.26,13.182
Zambia,2.181,12.041,20.299,-13.783,-7.834,140.211,34.081,18.882,332.223,18.111,959.148,7295.57,3191.37,241.17,332.223,-2.785,265.798,15.733,63.559,3366.14,0.048,-10.597,9.23
Zimbabwe,0.678,2.926,15.393,0.763,1.026,102.491,14.629,15.189,1189.14,23.181,1526.16,1177.87,2048.27,6646.59,1189.14,-5.156,1530.03,557.21,32.816,2160.44,0.025,0.0,0.0
